KEY,CNSRTKEY,NAME,STA,CDBG19,HOME19,ESG19,HOPWA19,HTF19
251992,25C005,Quincy,MA,1818205,"$800,237",152608,$0,$0
252028,,Revere City,MA,784221,$0,0,$0,$0
252118,,Salem,MA,1065891,$0,0,$0,$0
252250,,Somerville,MA,2478050,"$424,368",209799,$0,$0
252340,,Springfield,MA,3829602,"$1,512,653",323252,"$661,323",$0
252418,25C227,Taunton,MA,820272,"$649,028",0,$0,$0
252544,,Waltham,MA,971492,$0,0,$0,$0
252700,,Westfield,MA,360885,$0,0,$0,$0
252784,,Weymouth,MA,683864,$0,0,$0,$0
252880,,Worcester,MA,4382360,"$1,465,353",370659,"$635,000",$0
252904,,Yarmouth,MA,136257,$0,0,$0,$0
259999,,Massachusetts Nonentitlement,MA,33324856,"$9,289,582",4602834,"$310,596","$5,152,337"
25C201,25C201,CNSRT-Barnstable County,MA,0,"$427,233",0,$0,$0
260432,,Battle Creek,MI,1188872,"$254,827",0,$0,$0
260444,,Bay City,MI,1202639,"$186,048",0,$0,$0
260570,,Benton Harbor,MI,421406,$0,0,$0,$0
261074,,Canton Twp,MI,336372,$0,0,$0,$0
261410,,Clinton Twp,MI,589781,$0,0,$0,$0
261638,,Dearborn,MI,1905320,$0,162768,$0,$0
261644,,Dearborn Heights,MI,1019751,$0,0,$0,$0
261698,,Detroit,MI,34516333,"$6,737,568",2917168,"$2,825,867",$0
261848,,East Lansing,MI,488344,$0,0,$0,$0
262096,,Farmington Hills,MI,357296,$0,0,$0,$0
262172,,Flint,MI,3889542,"$840,005",328616,$0,$0
262544,,Grand Rapids,MI,3698611,"$1,268,288",318924,$0,$0
262940,,Holland,MI,330994,$0,0,$0,$0
263174,,Jackson,MI,1227866,"$301,299",0,$0,$0
263222,,Kalamazoo,MI,1615035,"$492,146",0,$0,$0
263456,,Lansing,MI,2008152,"$707,152",170259,$0,$0
263588,,Lincoln Park,MI,787520,$0,0,$0,$0
263648,,Livonia,MI,332130,$0,0,$0,$0
264086,,Midland,MI,255358,$0,0,$0,$0
264164,,Monroe,MI,451123,$0,0,$0,$0
264296,,Muskegon,MI,973451,"$334,818",0,$0,$0
264302,,Muskegon Hts,MI,439320,$0,0,$0,$0
