Code,State,NAME,PPRN
121572,FL,Kissimmee,"$179,669 "
121662,FL,Lakeland,"$262,161 "
121710,FL,Largo,"$143,033 "
121728,FL,Lauderhill,"$190,667 "
121874,FL,Marco Island City,"$20,226 "
121878,FL,Margate,"$94,642 "
121926,FL,Melbourne,"$137,318 "
121968,FL,Miami,"$3,854,187 "
121974,FL,Miami Beach,"$674,290 "
121976,FL,Miami Gardens City,"$293,904 "
122022,FL,Miramar,"$217,183 "
122064,FL,Naples,"$25,120 "
122142,FL,North Miami,"$202,912 "
122214,FL,Ocala,"$124,804 "
122292,FL,Orlando,"$1,555,742 "
122358,FL,Palm Bay,"$210,147 "
122370,FL,Palm Beach Gardens,"$59,517 "
122374,FL,Palm Coast,"$135,870 "
122406,FL,Panama City,"$92,291 "
122448,FL,Pembroke Pines,"$220,497 "
122466,FL,Pensacola,"$190,775 "
122502,FL,Pinellas Park,"$85,868 "
122514,FL,Plantation,"$143,549 "
122538,FL,Pompano Beach,"$278,435 "
122568,FL,Port Orange,"$87,949 "
122586,FL,Port St Lucie,"$313,381 "
122700,FL,St. Cloud City,$0 
122724,FL,St Petersburg,"$1,300,241 "
122754,FL,Sanford,"$120,204 "
122766,FL,Sarasota,"$110,217 "
122808,FL,Sebastian City,"$28,987 "
122958,FL,Sunrise,"$166,633 "
123000,FL,Tallahassee,"$1,383,577 "
123006,FL,Tamarac,"$104,150 "
123012,FL,Tampa,"$2,315,468 "
123048,FL,Titusville,"$83,137 "
123213,FL,Wellington,"$72,119 "
123249,FL,Weston City,"$84,402 "
123252,FL,West Palm Beach,"$248,627 "
129001,FL,Alachua County,"$283,910 "
129003,FL,Baker County,"$65,071 "
129005,FL,Bay County,"$263,958 "
129007,FL,Bradford County,"$88,915 "
129009,FL,Brevard County,"$371,221 "
129011,FL,Broward County,"$1,999,894 "
129013,FL,Calhoun County,"$39,074 "
129015,FL,Charlotte County,"$294,012 "
129017,FL,Citrus County,"$313,356 "
129019,FL,Clay County,"$348,828 "
129021,FL,Collier County,"$1,730,437 "
129023,FL,Columbia County,"$176,613 "
129027,FL,DeSoto County,"$138,235 "
129029,FL,Dixie County,"$43,926 "
129031,FL,Jacksonville-Duval County,"$4,634,272 "
129033,FL,Escambia County,"$1,137,668 "
129035,FL,Flagler County,"$44,341 "
129037,FL,Franklin County,"$69,160 "
129039,FL,Gadsden County,"$186,171 "
129041,FL,Gilchrist County,"$43,799 "
129043,FL,Glades County,"$30,661 "
129045,FL,Gulf County,"$45,847 "
129047,FL,Hamilton County,"$63,481 "
129049,FL,Hardee County,"$109,852 "
129051,FL,Hendry County,"$145,798 "
129053,FL,Hernando County,"$352,552 "
129055,FL,Highlands County,"$250,280 "
129057,FL,Hillsborough County,"$5,102,785 "
129059,FL,Holmes County,"$73,206 "
129061,FL,Indian River County,"$255,574 "
129063,FL,Jackson County,"$182,089 "
129065,FL,Jefferson County,"$75,046 "
129067,FL,Lafayette County,"$28,106 "
129069,FL,Lake County,"$344,506 "
129071,FL,Lee County,"$2,204,999 "
129073,FL,Leon County,"$152,779 "
129075,FL,Levy County,"$105,612 "
129077,FL,Liberty County,"$30,387 "
129079,FL,Madison County,"$88,948 "
129081,FL,Manatee County,"$1,385,885 "
129083,FL,Marion County,"$1,376,743 "
129085,FL,Martin County,"$281,818 "
129086,FL,Miami-Dade County,"$9,349,917 "
129087,FL,Monroe County,"$459,160 "
