Geo Code,Jurisdiction,State,FY 2015 PPRN
080238,Centennial,CO,"$77,641"
080288,Colorado Springs,CO,"$1,723,205"
080390,Denver,CO,"$4,617,541"
080552,Fort Collins,CO,"$230,002"
080672,Grand Junction,CO,"$93,677"
080690,Greeley,CO,"$211,173"
080906,Lakewood,CO,"$217,997"
080978,Longmont,CO,"$144,391"
080990,Loveland,CO,"$75,083"
081278,Pueblo,CO,"$333,588"
081524,Thornton,CO,"$151,064"
081614,Westminster,CO,"$152,833"
089001,Adams County,CO,"$1,087,535"
089003,Alamosa County,CO,"$32,888"
089005,Arapahoe County,CO,"$272,938"
089007,Archuleta County,CO,"$12,411"
089009,Baca County,CO,"$9,717"
089011,Bent County,CO,"$14,893"
089013,Boulder County,CO,"$111,643"
089015,Chaffee County,CO,"$30,308"
089017,Cheyenne County,CO,"$5,211"
089019,Clear Creek County,CO,"$22,965"
089021,Conejos County,CO,"$20,377"
089023,Costilla County,CO,"$11,997"
089025,Crowley County,CO,"$12,303"
089027,Custer County,CO,"$7,951"
089029,Delta County,CO,"$61,470"
089033,Dolores County,CO,"$4,627"
089035,Douglas County,CO,"$212,388"
089037,Eagle County,CO,"$86,809"
089039,Elbert County,CO,"$21,061"
089041,El Paso County,CO,"$232,187"
089043,Fremont County,CO,"$78,267"
089045,Garfield County,CO,"$97,018"
089047,Gilpin County,CO,"$10,914"
089049,Grand County,CO,"$20,380"
089051,Gunnison County,CO,"$27,365"
089053,Hinsdale County,CO,"$3,002"
089055,Huerfano County,CO,"$26,214"
089057,Jackson County,CO,"$4,760"
089059,Jefferson County,CO,"$242,691"
089061,Kiowa County,CO,"$5,007"
089063,Kit Carson County,CO,"$14,741"
089065,Lake County,CO,"$26,977"
089067,La Plata County,CO,"$73,335"
089069,Larimer County,CO,"$119,085"
089071,Las Animas County,CO,"$52,505"
089073,Lincoln County,CO,"$10,997"
089075,Logan County,CO,"$47,270"
089077,Mesa County,CO,"$135,745"
089079,Mineral County,CO,"$2,773"
089081,Moffat County,CO,"$20,234"
089083,Montezuma County,CO,"$51,788"
089085,Montrose County,CO,"$70,515"
089087,Morgan County,CO,"$64,461"
089089,Otero County,CO,"$59,327"
089091,Ouray County,CO,"$7,850"
089093,Park County,CO,"$18,921"
089095,Phillips County,CO,"$12,129"
089097,Pitkin County,CO,"$25,557"
089099,Prowers County,CO,"$32,577"
089101,Pueblo County,CO,"$59,771"
089103,Rio Blanco County,CO,"$10,415"
089105,Rio Grande County,CO,"$30,822"
089107,Routt County,CO,"$27,260"
089109,Saguache County,CO,"$16,683"
089111,San Juan County,CO,"$4,854"
089113,San Miguel County,CO,"$12,659"
