Geo Code,State,Name,FY 2017 PPRN,
121926,FL,Melbourne,"$121,243"
121968,FL,Miami,"$3,550,393"
121974,FL,Miami Beach,"$628,877"
121976,FL,Miami Gardens City,"$268,322"
122022,FL,Miramar,"$191,492"
122064,FL,Naples,"$22,380"
122142,FL,North Miami,"$199,561"
122214,FL,Ocala,"$121,331"
122292,FL,Orlando,"$1,357,880"
122358,FL,Palm Bay,"$195,604"
122370,FL,Palm Beach Gardens,"$50,482"
122374,FL,Palm Coast,"$131,231"
122406,FL,Panama City,"$84,543"
122448,FL,Pembroke Pines,"$210,586"
122466,FL,Pensacola,"$186,955"
122514,FL,Plantation,"$117,038"
122538,FL,Pompano Beach,"$247,662"
122568,FL,Port Orange,"$74,275"
122586,FL,Port St Lucie,"$288,988"
122598,FL,Punta Gorda,"$20,202"
122724,FL,St Petersburg,"$1,210,618"
122754,FL,Sanford,"$114,545"
122766,FL,Sarasota,"$114,623"
122808,FL,Sebastian City,"$30,185"
122958,FL,Sunrise,"$146,328"
123000,FL,Tallahassee,"$1,338,122"
123006,FL,Tamarac,"$104,020"
123012,FL,Tampa,"$2,067,248"
123048,FL,Titusville,"$72,188"
123213,FL,Wellington,"$67,562"
123249,FL,Weston City,"$74,587"
123252,FL,West Palm Beach,"$216,718"
123342,FL,Winter Haven,"$72,711"
129001,FL,Alachua County,"$257,388"
129003,FL,Baker County,"$62,158"
129005,FL,Bay County,"$245,795"
129007,FL,Bradford County,"$71,218"
129009,FL,Brevard County,"$327,444"
129011,FL,Broward County,"$1,749,506"
129013,FL,Calhoun County,"$38,740"
129015,FL,Charlotte County,"$230,669"
129017,FL,Citrus County,"$280,752"
129019,FL,Clay County,"$275,131"
129021,FL,Collier County,"$1,534,143"
129023,FL,Columbia County,"$153,826"
129027,FL,Desoto County,"$128,550"
129029,FL,Dixie County,"$32,396"
129031,FL,Jacksonville-Duval County,"$4,239,284"
129033,FL,Escambia County,"$1,205,597"
129035,FL,Flagler County,"$34,797"
129037,FL,Franklin County,"$79,721"
129039,FL,Gadsden County,"$178,697"
129041,FL,Gilchrist County,"$46,384"
129043,FL,Glades County,"$29,646"
129045,FL,Gulf County,"$37,484"
129047,FL,Hamilton County,"$46,820"
129049,FL,Hardee County,"$109,197"
129051,FL,Hendry County,"$133,711"
129053,FL,Hernando County,"$325,612"
129055,FL,Highlands County,"$234,675"
129057,FL,Hillsborough County,"$4,499,124"
129059,FL,Holmes County,"$53,041"
129061,FL,Indian River County,"$233,739"
129063,FL,Jackson County,"$177,278"
129065,FL,Jefferson County,"$73,212"
129067,FL,Lafayette County,"$29,136"
129069,FL,Lake County,"$313,447"
129071,FL,Lee County,"$1,971,196"
129073,FL,Leon County,"$147,406"
129075,FL,Levy County,"$107,101"
129077,FL,Liberty County,"$28,011"
129079,FL,Madison County,"$78,753"
129081,FL,Manatee County,"$1,226,312"
129083,FL,Marion County,"$1,355,441"
129085,FL,Martin County,"$251,948"
129086,FL,Miami-Dade County,"$8,416,828"
129087,FL,Monroe County,"$390,328"
129089,FL,Nassau County,"$186,099"
129091,FL,Okaloosa County,"$301,517"
129093,FL,Okeechobee County,"$132,625"
129095,FL,Orange County,"$4,201,714"
129097,FL,Osceola County,"$399,066"
129099,FL,Palm Beach County,"$4,343,776"
129101,FL,Pasco County,"$1,903,620"
129103,FL,Pinellas County,"$1,865,026"
129105,FL,Polk County,"$2,224,281"
129107,FL,Putnam County,"$276,907"
129109,FL,St. Johns County,"$220,984"
129111,FL,St. Lucie County,"$117,237"
129113,FL,Santa Rosa County,"$267,857"
129115,FL,Sarasota County,"$1,186,070"
129117,FL,Seminole County,"$1,246,823"
129119,FL,Sumter County,"$158,099"
129121,FL,Suwannee County,"$129,684"
129123,FL,Taylor County,"$85,123"
129125,FL,Union County,"$34,037"
129127,FL,Volusia County,"$1,281,919"
129129,FL,Wakulla County,"$59,022"
129131,FL,Walton County,"$135,720"
129133,FL,Washington County,"$89,229"
130054,GA,Albany,"$235,073"
130168,GA,Athens-Clarke County,"$340,559"
130174,GA,Atlanta,"$5,050,807"
